cell,batch,duration_ns
moves/census/DROP/groups/lower/incremental,17,153806635
moves/census/DROP/groups/lower/incremental,18,151819554
moves/census/DROP/groups/lower/incremental,19,148203058
moves/census/DROP/groups/lower/incremental,20,153718158
moves/census/DROP/groups/lower/incremental,21,144023217
moves/census/DROP/groups/lower/incremental,22,149001600
moves/census/DROP/groups/lower/incremental,23,150823120
moves/census/DROP/groups/lower/incremental,24,145206238
moves/census/DROP/groups/lower/incremental,25,150347539
moves/census/DROP/groups/lower/incremental,26,144824231
moves/census/DROP/groups/lower/incremental,27,142908083
moves/census/DROP/groups/lower/incremental,28,142865470
moves/census/DROP/groups/lower/incremental,29,145585809
moves/census/DROP/groups/middle/full,0,150397860
moves/census/DROP/groups/middle/full,1,151774875
moves/census/DROP/groups/middle/full,2,149936996
moves/census/DROP/groups/middle/full,3,151783428
moves/census/DROP/groups/middle/full,4,150741634
moves/census/DROP/groups/middle/full,5,151822015
moves/census/DROP/groups/middle/full,6,153400449
moves/census/DROP/groups/middle/full,7,153024184
moves/census/DROP/groups/middle/full,8,152049858
moves/census/DROP/groups/middle/full,9,152364562
moves/census/DROP/groups/middle/full,10,156473639
moves/census/DROP/groups/middle/full,11,164906958
moves/census/DROP/groups/middle/full,12,162870389
moves/census/DROP/groups/middle/full,13,153414756
moves/census/DROP/groups/middle/full,14,160223878
moves/census/DROP/groups/middle/full,15,163762394
moves/census/DROP/groups/middle/full,16,163952074
moves/census/DROP/groups/middle/full,17,163424555
moves/census/DROP/groups/middle/full,18,163973314
moves/census/DROP/groups/middle/full,19,155819383
moves/census/DROP/groups/middle/full,20,155945563
moves/census/DROP/groups/middle/full,21,158469884
moves/census/DROP/groups/middle/full,22,154343055
moves/census/DROP/groups/middle/full,23,153505341
moves/census/DROP/groups/middle/full,24,159600198
moves/census/DROP/groups/middle/full,25,159484444
moves/census/DROP/groups/middle/full,26,156007819
moves/census/DROP/groups/middle/full,27,161312346
moves/census/DROP/groups/middle/full,28,164216936
moves/census/DROP/groups/middle/full,29,157646468
moves/census/DROP/groups/middle/incremental,0,186991618
moves/census/DROP/groups/middle/incremental,1,190353714
moves/census/DROP/groups/middle/incremental,2,190724551
moves/census/DROP/groups/middle/incremental,3,201826800
moves/census/DROP/groups/middle/incremental,4,194008777
moves/census/DROP/groups/middle/incremental,5,194539043
moves/census/DROP/groups/middle/incremental,6,187937870
moves/census/DROP/groups/middle/incremental,7,195078476
moves/census/DROP/groups/middle/incremental,8,183468064
moves/census/DROP/groups/middle/incremental,9,187217449
moves/census/DROP/groups/middle/incremental,10,183955817
moves/census/DROP/groups/middle/incremental,11,181901391
moves/census/DROP/groups/middle/incremental,12,184718427
moves/census/DROP/groups/middle/incremental,13,182209188
moves/census/DROP/groups/middle/incremental,14,181144615
moves/census/DROP/groups/middle/incremental,15,189681792
moves/census/DROP/groups/middle/incremental,16,186859929
moves/census/DROP/groups/middle/incremental,17,184059879
moves/census/DROP/groups/middle/incremental,18,180436831
moves/census/DROP/groups/middle/incremental,19,180219336
moves/census/DROP/groups/middle/incremental,20,178308099
moves/census/DROP/groups/middle/incremental,21,180890173
moves/census/DROP/groups/middle/incremental,22,179741004
moves/census/DROP/groups/middle/incremental,23,179448304
moves/census/DROP/groups/middle/incremental,24,182728550
moves/census/DROP/groups/middle/incremental,25,181534626
moves/census/DROP/groups/middle/incremental,26,180443314
moves/census/DROP/groups/middle/incremental,27,182629636
moves/census/DROP/groups/middle/incremental,28,182781000
moves/census/DROP/groups/middle/incremental,29,181951686
moves/census/DROP/groups/upper/full,0,147680883
moves/census/DROP/groups/upper/full,1,147357123
moves/census/DROP/groups/upper/full,2,146270396
moves/census/DROP/groups/upper/full,3,150182320
moves/census/DROP/groups/upper/full,4,148127725
moves/census/DROP/groups/upper/full,5,155567714
moves/census/DROP/groups/upper/full,6,151146445
moves/census/DROP/groups/upper/full,7,147960546
moves/census/DROP/groups/upper/full,8,149516942
moves/census/DROP/groups/upper/full,9,152167314
moves/census/DROP/groups/upper/full,10,146607168
moves/census/DROP/groups/upper/full,11,146410553
moves/census/DROP/groups/upper/full,12,146593407
moves/census/DROP/groups/upper/full,13,148259525
moves/census/DROP/groups/upper/full,14,148774968
moves/census/DROP/groups/upper/full,15,148267599
moves/census/DROP/groups/upper/full,16,148136820
moves/census/DROP/groups/upper/full,17,150871925
moves/census/DROP/groups/upper/full,18,153150024
moves/census/DROP/groups/upper/full,19,157443592
moves/census/DROP/groups/upper/full,20,156628705
moves/census/DROP/groups/upper/full,21,148644616
moves/census/DROP/groups/upper/full,22,157318265
moves/census/DROP/groups/upper/full,23,158227878
moves/census/DROP/groups/upper/full,24,149825080
moves/census/DROP/groups/upper/full,25,155906879
moves/census/DROP/groups/upper/full,26,147312199
moves/census/DROP/groups/upper/full,27,148368392
moves/census/DROP/groups/upper/full,28,155100594
moves/census/DROP/groups/upper/full,29,153802749
moves/census/DROP/groups/upper/incremental,0,141284570
moves/census/DROP/groups/upper/incremental,1,142659708
moves/census/DROP/groups/upper/incremental,2,146029417
moves/census/DROP/groups/upper/incremental,3,149153342
moves/census/DROP/groups/upper/incremental,4,148373263
moves/census/DROP/groups/upper/incremental,5,148461620
moves/census/DROP/groups/upper/incremental,6,148307784
moves/census/DROP/groups/upper/incremental,7,140499094
moves/census/DROP/groups/upper/incremental,8,140032457
moves/census/DROP/groups/upper/incremental,9,136690361
moves/census/DROP/groups/upper/incremental,10,138161027
moves/census/DROP/groups/upper/incremental,11,137411436
moves/census/DROP/groups/upper/incremental,12,147416457
moves/census/DROP/groups/upper/incremental,13,138272960
moves/census/DROP/groups/upper/incremental,14,145624821
moves/census/DROP/groups/upper/incremental,15,147601039
moves/census/DROP/groups/upper/incremental,16,142054315
moves/census/DROP/groups/upper/incremental,17,137030052
moves/census/DROP/groups/upper/incremental,18,138049751
moves/census/DROP/groups/upper/incremental,19,142754041
moves/census/DROP/groups/upper/incremental,20,137808568
moves/census/DROP/groups/upper/incremental,21,145462435
moves/census/DROP/groups/upper/incremental,22,146784877
moves/census/DROP/groups/upper/incremental,23,143943682
moves/census/DROP/groups/upper/incremental,24,142611175
moves/census/DROP/groups/upper/incremental,25,142770098
moves/census/DROP/groups/upper/incremental,26,146765851
moves/census/DROP/groups/upper/incremental,27,139411243
moves/census/DROP/groups/upper/incremental,28,139685987
moves/census/DROP/groups/upper/incremental,29,140708876
moves/census/DROP/groups/pooled/full,0,154394926
moves/census/DROP/groups/pooled/full,1,157513021
moves/census/DROP/groups/pooled/full,2,159724045
moves/census/DROP/groups/pooled/full,3,149770988
moves/census/DROP/groups/pooled/full,4,154767228
moves/census/DROP/groups/pooled/full,5,156319288
moves/census/DROP/groups/pooled/full,6,156183615
moves/census/DROP/groups/pooled/full,7,159652640
moves/census/DROP/groups/pooled/full,8,158827899
moves/census/DROP/groups/pooled/full,9,158395898
moves/census/DROP/groups/pooled/full,10,159662267
moves/census/DROP/groups/pooled/full,11,160190530
moves/census/DROP/groups/pooled/full,12,158366352
moves/census/DROP/groups/pooled/full,13,156033296
