query,truth,zero_truth,frozen_estimate,fresh_replay_estimate,fresh_native_estimate,frozen_qerror,fresh_replay_qerror,semantic_relative_error,mcv_trace_changed,fd_trace_changed,control_class
dmv.1179,10419135,False,,10140159.896888286,10140159.896888286,,1.0275119037518652,0.0,False,False,unchanged
dmv.1180,10511954,False,,10604783.99777132,10604783.997771319,,1.008830898401127,1.7564196966410697e-16,False,False,unchanged
dmv.1181,485374,False,,475160.36692484096,475160.3669248409,,1.0214951283526865,1.225010858758649e-16,False,False,unchanged
dmv.1182,2689473,False,,3018627.7862250977,3018627.786225099,,1.1223863508669163,4.627877170872384e-16,False,False,unchanged
dmv.1183,62179,False,,69554.53593640288,69554.53593640288,,1.118617795982613,0.0,False,False,unchanged
dmv.1184,3634232,False,,3549775.5747188767,3549775.5747188777,,1.023792046427558,2.6236097325370607e-16,False,False,unchanged
dmv.1185,10613492,False,,10506414.831288656,10506414.831288658,,1.0101915991735317,1.772864653776949e-16,False,False,unchanged
dmv.1186,8410,False,,5656.126166822759,5656.12616682276,,1.4868833813026818,1.6079816378703988e-16,False,False,unchanged
dmv.1187,1103536,False,,961864.1893309955,961864.1893309966,,1.1472887880019125,1.089278411717505e-15,False,False,unchanged
dmv.1188,1336596,False,,1334513.501593228,1334513.5015932273,,1.0015604925722263,5.234056681537539e-16,False,False,unchanged
dmv.1189,3575591,False,,3536594.021991524,3536594.0219915234,,1.0110267047238055,1.3166942103394624e-16,False,False,unchanged
dmv.1190,248899,False,,283083.29769566987,283083.29769566987,,1.137342045149518,0.0,False,False,unchanged
dmv.1191,765095,False,,1005658.0063163078,1005658.0063163083,,1.3144224002461233,4.630413961635338e-16,False,False,unchanged
dmv.1192,5171568,False,,5189521.793509554,5189521.793509554,,1.003471634426842,0.0,False,False,unchanged
dmv.1193,247653,False,,228372.86900561082,228372.86900561076,,1.0844239119924333,2.5487993020763487e-16,False,False,unchanged
dmv.1194,10731895,False,,10749670.425015066,10749670.425015064,,1.0016563174551247,1.7327462848502602e-16,False,False,unchanged
dmv.1195,1124659,False,,806730.2080434897,806730.2080434897,,1.3940955585728745,0.0,False,False,unchanged
dmv.1196,10057127,False,,10151058.444201982,10151058.444201985,,1.0093397890075348,3.669854054076204e-16,False,False,unchanged
dmv.1197,10310376,False,,10255157.5277524,10255157.5277524,,1.0053844587075498,0.0,False,False,unchanged
dmv.1198,10567138,False,,10641365.596977407,10641365.596977407,,1.0070243803930077,0.0,False,False,unchanged
dmv.1199,144490,False,,211540.0160311038,211540.01603110373,,1.464046065686925,2.7516146592760423e-16,False,False,unchanged
dmv.1200,9898024,False,,9861587.149725506,9861587.149725508,,1.0036948261695895,1.8887884079418218e-16,False,False,unchanged
dmv.1201,52,False,,544.9874592522033,544.9874592522034,,10.480528062542371,2.0860450234508106e-16,False,False,unchanged
dmv.1202,8026309,False,,8023164.957399269,8023164.957399269,,1.0003918706168233,0.0,False,False,unchanged
dmv.1203,10579845,False,,10654453.355680132,10654453.355680132,,1.0070519327721845,0.0,False,False,unchanged
dmv.1204,811150,False,,844967.0384682175,844967.0384682203,,1.0416902403602508,3.3065996620547683e-15,False,True,fd
dmv.1205,10621113,False,,10670410.439377928,10670410.439377928,,1.0046414570090656,0.0,False,False,unchanged
dmv.1206,8115216,False,,8013661.238500867,8013661.238500865,,1.0126727045824226,2.3243372708120694e-16,False,False,unchanged
dmv.1207,11326169,False,,11422619.934974378,11422619.93497438,,1.008515759827915,1.6306636829680483e-16,False,False,unchanged
dmv.1208,8891049,False,,8431175.917433713,8431175.917433714,,1.0545443585888625,2.2092353041518672e-16,False,False,unchanged
dmv.1209,7311837,False,,7200715.89432383,7200715.894323826,,1.0154319525040232,5.173499903528319e-16,False,False,unchanged
dmv.1210,37489,False,,34929.892549723736,34929.89254972373,,1.073264108861294,2.0830174624287452e-16,False,False,unchanged
dmv.1211,1296081,False,,1353779.1950923025,1353779.1950923023,,1.044517429923209,1.7198568606898627e-16,False,False,unchanged
dmv.1212,2005409,False,,2042148.865668347,2042148.8656683476,,1.018320385351989,2.280251430912894e-16,False,False,unchanged
dmv.1213,456249,False,,418878.21554717555,418878.21554717567,,1.0892163475343482,2.779216428690684e-16,False,False,unchanged
dmv.1214,11180320,False,,11284371.027676389,11284371.02767639,,1.0093066233950718,1.6506415330217139e-16,False,False,unchanged
